A,B,C,D,E,F,G
A,X_10fMM,100,KHVFQKBBTJPBMQP,2511,209,OXMMZOZDYYWVGJG
F,T_xEfV1,827,HBCWMFSNHTNNSOF,1246,209,OXMMZOZDYYWVGJG
B,T_Fe134,60,QEBBIPDXWRCHGSK,4455,162,KAQZSSKPPWRORYW
K,R_NFT36,606,RRRGXLFJSGOHCYW,1495,197,BNSCSXOJWAFTTVS
E,K_12M34,583,QDMHXFMKFQWMNUF,1081,153,OLNSTYUIIIGYSSL
B,T_Fe134,492,FBBYTXBZSXXEFLG,1107,215,QWJKGTTBATEWAHN
F,T_xEfV1,150,EPGRUBMPZPBYLHC,3849,112,INOMZYINCCISUCQ
G,U_oAo12,159,KBCJRMNZUDVGIQH,4147,197,BNSCSXOJWAFTTVS
A,X_10fMM,240,CFSPXFBIYSITKUE,2207,197,BNSCSXOJWAFTTVS
K,R_NFT36,469,GCCIJFZZLUSNZKR,2591,181,CBKMUWJEKWNROTY
C,X_MM42e,150,EPGRUBMPZPBYLHC,4599,149,BGRMWMMUMEFOBGL
H,O_Um421,138,WWWKZNUKKOCVLDA,1771,198,UHNHONUHHZTFLGT
G,U_oAo12,113,JXFGSVBQNNEUMCJ,4821,209,OXMMZOZDYYWVGJG
C,X_MM42e,962,PLENQJDDYZULYKA,4280,208,DPQLFVEHBGGKXGX
K,R_NFT36,240,CFSPXFBIYSITKUE,2123,149,BGRMWMMUMEFOBGL
C,X_MM42e,177,MZXEXJZPBWCTOXL,4820,162,KAQZSSKPPWRORYW
E,K_12M34,295,EDJEGYBIQYVBXOA,3396,209,OXMMZOZDYYWVGJG
B,T_Fe134,149,LFUFLBFHQUOERLG,1068,174,JIBGCETMMPEQHUC
C,X_MM42e,967,SHRIEJKCRXAXKPY,4142,179,PKOSWZVLMXMTLZW
B,T_Fe134,385,NHYVTTIDXFYADCF,1313,181,CBKMUWJEKWNROTY
A,X_10fMM,523,MLBHTRWIKRCOCYV,1050,208,DPQLFVEHBGGKXGX
C,X_MM42e,413,BYLODPSXBFMLHFU,1375,197,BNSCSXOJWAFTTVS
F,T_xEfV1,390,CHVNCVKDEMWMRPE,2749,197,BNSCSXOJWAFTTVS
C,X_MM42e,64,WWDVEEYMDMTQDAH,3119,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,81,ODZTDFJYPUEVZXZ,2689,171,WOTRJPNMGQSJCKW
B,T_Fe134,163,WJEQCQKJKVCRYMJ,3743,162,KAQZSSKPPWRORYW
B,T_Fe134,674,AFNIOPRUNAKVQOO,1121,208,DPQLFVEHBGGKXGX
F,T_xEfV1,755,XIBUOKRQGJCFFMG,3866,181,CBKMUWJEKWNROTY
G,U_oAo12,562,VNGWSFSNSIAFCGD,4820,112,INOMZYINCCISUCQ
F,T_xEfV1,595,TBAWQGLWABDNIIX,1911,209,OXMMZOZDYYWVGJG
H,O_Um421,491,HWIQNNMEKJRBPGP,2374,208,DPQLFVEHBGGKXGX
E,K_12M34,515,JHSFUSBMABVPPJH,2912,174,JIBGCETMMPEQHUC
D,Y_A13Fm,84,HLLIUTIMRUMRQDK,3963,215,QWJKGTTBATEWAHN
G,U_oAo12,49,CPIEOLOBXRARHBO,1005,171,WOTRJPNMGQSJCKW
A,X_10fMM,929,MZZSOCSUGSTUXPF,3719,162,KAQZSSKPPWRORYW
C,X_MM42e,967,SHRIEJKCRXAXKPY,3517,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,712,IKOPSJGARBTCQLY,3203,181,CBKMUWJEKWNROTY
E,K_12M34,822,SKVFPHPLCMNHQPE,4258,198,UHNHONUHHZTFLGT
B,T_Fe134,289,QRSBLITQOKOCXNM,2319,209,OXMMZOZDYYWVGJG
B,T_Fe134,213,AZVXUIYPGMHNZXJ,2314,174,JIBGCETMMPEQHUC
H,O_Um421,785,RPCNHBECGNSCRLO,1747,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,213,AZVXUIYPGMHNZXJ,2289,112,INOMZYINCCISUCQ
K,R_NFT36,940,XQCNPCOHYWSQVFY,2859,208,DPQLFVEHBGGKXGX
C,X_MM42e,54,EYDZXNGJGPZNZVI,3965,215,QWJKGTTBATEWAHN
H,O_Um421,377,UHIWXYBDZCQDMBW,2904,209,OXMMZOZDYYWVGJG
K,R_NFT36,16,KAMABLMDNQXPNDU,2652,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,502,UYCUSOYWJOOGNSE,4971,162,KAQZSSKPPWRORYW
D,Y_A13Fm,159,KBCJRMNZUDVGIQH,1177,121,WWICVCDUHUKZAWN
K,R_NFT36,712,IKOPSJGARBTCQLY,3983,197,BNSCSXOJWAFTTVS
B,T_Fe134,368,HXUBRLHKGOBUJKR,1188,171,WOTRJPNMGQSJCKW
A,X_10fMM,491,HWIQNNMEKJRBPGP,3659,174,JIBGCETMMPEQHUC
D,Y_A13Fm,390,CHVNCVKDEMWMRPE,2193,112,INOMZYINCCISUCQ
E,K_12M34,91,RALPDQBXBDJTNPW,4752,215,QWJKGTTBATEWAHN
A,X_10fMM,368,HXUBRLHKGOBUJKR,1614,162,KAQZSSKPPWRORYW
K,R_NFT36,142,XVRRJLDRBCRUBVU,3894,209,OXMMZOZDYYWVGJG
E,K_12M34,755,XIBUOKRQGJCFFMG,1915,174,JIBGCETMMPEQHUC
E,K_12M34,64,WWDVEEYMDMTQDAH,3147,181,CBKMUWJEKWNROTY
F,T_xEfV1,492,FBBYTXBZSXXEFLG,2554,149,BGRMWMMUMEFOBGL
B,T_Fe134,729,LJGOQBMPLTAWZHD,2137,149,BGRMWMMUMEFOBGL
C,X_MM42e,669,NOQPNJDENANCVAR,4336,181,CBKMUWJEKWNROTY
A,X_10fMM,672,LTFQSCEYRBVKUAP,1094,215,QWJKGTTBATEWAHN
E,K_12M34,940,XQCNPCOHYWSQVFY,1018,174,JIBGCETMMPEQHUC
A,X_10fMM,15,VCQKRGUMIWDESRW,4104,121,WWICVCDUHUKZAWN
A,X_10fMM,889,GMPOFQSNXAFECJD,3280,174,JIBGCETMMPEQHUC
B,T_Fe134,810,PGYACUGIRYNMCBE,2144,149,BGRMWMMUMEFOBGL
A,X_10fMM,14,OOMARJWTOWJFXLM,2533,209,OXMMZOZDYYWVGJG
E,K_12M34,15,VCQKRGUMIWDESRW,4302,162,KAQZSSKPPWRORYW
G,U_oAo12,755,XIBUOKRQGJCFFMG,1932,198,UHNHONUHHZTFLGT
F,T_xEfV1,15,VCQKRGUMIWDESRW,3352,209,OXMMZOZDYYWVGJG
A,X_10fMM,149,LFUFLBFHQUOERLG,1486,210,LCZQWSYFTCTBQUI
B,T_Fe134,826,GJBZRUMIQLQFNCZ,2512,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,1580,208,DPQLFVEHBGGKXGX
G,U_oAo12,15,VCQKRGUMIWDESRW,1729,149,BGRMWMMUMEFOBGL
E,K_12M34,413,BYLODPSXBFMLHFU,3443,208,DPQLFVEHBGGKXGX
E,K_12M34,295,EDJEGYBIQYVBXOA,4566,171,WOTRJPNMGQSJCKW
H,O_Um421,523,MLBHTRWIKRCOCYV,4258,153,OLNSTYUIIIGYSSL
B,T_Fe134,142,XVRRJLDRBCRUBVU,2499,209,OXMMZOZDYYWVGJG
K,R_NFT36,755,XIBUOKRQGJCFFMG,4497,121,WWICVCDUHUKZAWN
K,R_NFT36,889,GMPOFQSNXAFECJD,2358,209,OXMMZOZDYYWVGJG
B,T_Fe134,725,PXGPTCHULHWPELF,4751,153,OLNSTYUIIIGYSSL
B,T_Fe134,20,ILQLMBISHNQTVFK,3840,171,WOTRJPNMGQSJCKW
E,K_12M34,35,PSSVRABNAOGNKCP,2045,215,QWJKGTTBATEWAHN
D,Y_A13Fm,419,OHXGDSVDHPGJGAO,2642,215,QWJKGTTBATEWAHN
H,O_Um421,662,ODFURYFINNMQPUJ,2076,171,WOTRJPNMGQSJCKW
F,T_xEfV1,852,WJILXXFLHVEIIVG,2757,209,OXMMZOZDYYWVGJG
A,X_10fMM,852,WJILXXFLHVEIIVG,1629,121,WWICVCDUHUKZAWN
F,T_xEfV1,859,DYGGIROHJBJBGMC,3022,181,CBKMUWJEKWNROTY
A,X_10fMM,674,AFNIOPRUNAKVQOO,4380,208,DPQLFVEHBGGKXGX
F,T_xEfV1,443,LLWUUQCYEXLUAIB,4479,149,BGRMWMMUMEFOBGL
K,R_NFT36,662,ODFURYFINNMQPUJ,2145,121,WWICVCDUHUKZAWN
H,O_Um421,502,UYCUSOYWJOOGNSE,3832,174,JIBGCETMMPEQHUC
D,Y_A13Fm,14,OOMARJWTOWJFXLM,2396,209,OXMMZOZDYYWVGJG
F,T_xEfV1,64,WWDVEEYMDMTQDAH,3258,171,WOTRJPNMGQSJCKW
H,O_Um421,431,PGRSPDOMBBGLRYP,3232,153,OLNSTYUIIIGYSSL
A,X_10fMM,606,RRRGXLFJSGOHCYW,3463,171,WOTRJPNMGQSJCKW
H,O_Um421,674,AFNIOPRUNAKVQOO,4913,112,INOMZYINCCISUCQ
A,X_10fMM,582,VIYZJRMURLLANOL,4309,181,CBKMUWJEKWNROTY
C,X_MM42e,699,MIYDBATFLODBRRA,2401,208,DPQLFVEHBGGKXGX
B,T_Fe134,125,RVFYFMPWBZNWCQK,3357,208,DPQLFVEHBGGKXGX
B,T_Fe134,469,GCCIJFZZLUSNZKR,1694,121,WWICVCDUHUKZAWN
D,Y_A13Fm,142,XVRRJLDRBCRUBVU,3104,181,CBKMUWJEKWNROTY
G,U_oAo12,838,ZLOCESNXHIZOOUL,1495,209,OXMMZOZDYYWVGJG
G,U_oAo12,20,ILQLMBISHNQTVFK,2007,171,WOTRJPNMGQSJCKW
K,R_NFT36,822,SKVFPHPLCMNHQPE,4109,174,JIBGCETMMPEQHUC
E,K_12M34,798,USPSEOSELIAAPUD,1455,121,WWICVCDUHUKZAWN
D,Y_A13Fm,385,NHYVTTIDXFYADCF,1599,197,BNSCSXOJWAFTTVS
G,U_oAo12,81,ODZTDFJYPUEVZXZ,2455,149,BGRMWMMUMEFOBGL
G,U_oAo12,826,GJBZRUMIQLQFNCZ,2930,171,WOTRJPNMGQSJCKW
K,R_NFT36,240,CFSPXFBIYSITKUE,1112,174,JIBGCETMMPEQHUC
G,U_oAo12,842,GSZBCXTCEOPTAFO,3396,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,523,MLBHTRWIKRCOCYV,2410,121,WWICVCDUHUKZAWN
K,R_NFT36,136,ABVXFPLEMVOTBRQ,3316,149,BGRMWMMUMEFOBGL
F,T_xEfV1,810,PGYACUGIRYNMCBE,1517,179,PKOSWZVLMXMTLZW
E,K_12M34,213,AZVXUIYPGMHNZXJ,1722,197,BNSCSXOJWAFTTVS
C,X_MM42e,518,FOLRHQUMXSELBYM,4320,153,OLNSTYUIIIGYSSL
B,T_Fe134,669,NOQPNJDENANCVAR,3809,171,WOTRJPNMGQSJCKW
E,K_12M34,826,GJBZRUMIQLQFNCZ,1291,210,LCZQWSYFTCTBQUI
E,K_12M34,662,ODFURYFINNMQPUJ,4383,215,QWJKGTTBATEWAHN
A,X_10fMM,929,MZZSOCSUGSTUXPF,4692,210,LCZQWSYFTCTBQUI
B,T_Fe134,384,NDGVSOYSBRMIQLD,2048,162,KAQZSSKPPWRORYW
B,T_Fe134,929,MZZSOCSUGSTUXPF,1281,208,DPQLFVEHBGGKXGX
F,T_xEfV1,838,ZLOCESNXHIZOOUL,1158,179,PKOSWZVLMXMTLZW
B,T_Fe134,15,VCQKRGUMIWDESRW,3818,171,WOTRJPNMGQSJCKW
K,R_NFT36,20,ILQLMBISHNQTVFK,2352,153,OLNSTYUIIIGYSSL
B,T_Fe134,990,JAHPMDXMTWJIEDT,1889,179,PKOSWZVLMXMTLZW
A,X_10fMM,413,BYLODPSXBFMLHFU,2469,174,JIBGCETMMPEQHUC
A,X_10fMM,47,GVWFISHPCDXNRVU,1746,171,WOTRJPNMGQSJCKW
B,T_Fe134,289,QRSBLITQOKOCXNM,2845,215,QWJKGTTBATEWAHN
K,R_NFT36,990,JAHPMDXMTWJIEDT,1161,162,KAQZSSKPPWRORYW
B,T_Fe134,96,TDGZPEQTLFGJQCV,2698,162,KAQZSSKPPWRORYW
C,X_MM42e,760,AIUYMMHXMPOYHJJ,3925,215,QWJKGTTBATEWAHN
F,T_xEfV1,337,GWZQDWLWEPCDWMX,4192,112,INOMZYINCCISUCQ
D,Y_A13Fm,384,NDGVSOYSBRMIQLD,1400,162,KAQZSSKPPWRORYW
C,X_MM42e,14,OOMARJWTOWJFXLM,4402,210,LCZQWSYFTCTBQUI
C,X_MM42e,163,WJEQCQKJKVCRYMJ,4623,181,CBKMUWJEKWNROTY
B,T_Fe134,91,RALPDQBXBDJTNPW,2786,179,PKOSWZVLMXMTLZW
F,T_xEfV1,491,HWIQNNMEKJRBPGP,4970,179,PKOSWZVLMXMTLZW
H,O_Um421,136,ABVXFPLEMVOTBRQ,4621,121,WWICVCDUHUKZAWN
H,O_Um421,852,WJILXXFLHVEIIVG,1440,149,BGRMWMMUMEFOBGL
B,T_Fe134,582,VIYZJRMURLLANOL,2537,153,OLNSTYUIIIGYSSL
A,X_10fMM,213,AZVXUIYPGMHNZXJ,2423,171,WOTRJPNMGQSJCKW
A,X_10fMM,859,DYGGIROHJBJBGMC,1310,149,BGRMWMMUMEFOBGL
A,X_10fMM,760,AIUYMMHXMPOYHJJ,2506,197,BNSCSXOJWAFTTVS
B,T_Fe134,546,AASZXWXFJTNTKNX,3405,181,CBKMUWJEKWNROTY
B,T_Fe134,20,ILQLMBISHNQTVFK,2765,121,WWICVCDUHUKZAWN
D,Y_A13Fm,568,HFPDEYWZGYHHSJP,3233,153,OLNSTYUIIIGYSSL
G,U_oAo12,177,MZXEXJZPBWCTOXL,4760,179,PKOSWZVLMXMTLZW
H,O_Um421,390,CHVNCVKDEMWMRPE,1148,121,WWICVCDUHUKZAWN
E,K_12M34,852,WJILXXFLHVEIIVG,2759,208,DPQLFVEHBGGKXGX
B,T_Fe134,758,CDSHIUCJMSVSCEJ,1277,215,QWJKGTTBATEWAHN
F,T_xEfV1,96,TDGZPEQTLFGJQCV,3365,121,WWICVCDUHUKZAWN
G,U_oAo12,491,HWIQNNMEKJRBPGP,1252,112,INOMZYINCCISUCQ
F,T_xEfV1,150,EPGRUBMPZPBYLHC,1166,208,DPQLFVEHBGGKXGX
G,U_oAo12,47,GVWFISHPCDXNRVU,3107,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,822,SKVFPHPLCMNHQPE,2466,174,JIBGCETMMPEQHUC
B,T_Fe134,368,HXUBRLHKGOBUJKR,1968,198,UHNHONUHHZTFLGT
D,Y_A13Fm,289,QRSBLITQOKOCXNM,3463,198,UHNHONUHHZTFLGT
F,T_xEfV1,159,KBCJRMNZUDVGIQH,4392,162,KAQZSSKPPWRORYW
B,T_Fe134,441,IYRXKIAZTRFRADI,3604,198,UHNHONUHHZTFLGT
A,X_10fMM,712,IKOPSJGARBTCQLY,4290,171,WOTRJPNMGQSJCKW
C,X_MM42e,755,XIBUOKRQGJCFFMG,4913,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,240,CFSPXFBIYSITKUE,1548,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,672,LTFQSCEYRBVKUAP,1920,174,JIBGCETMMPEQHUC
H,O_Um421,643,HOSFKFOMXMCHXPL,4909,162,KAQZSSKPPWRORYW
D,Y_A13Fm,305,USKWCWUANJKSPOV,3660,174,JIBGCETMMPEQHUC
H,O_Um421,595,TBAWQGLWABDNIIX,2970,210,LCZQWSYFTCTBQUI
C,X_MM42e,842,GSZBCXTCEOPTAFO,2920,153,OLNSTYUIIIGYSSL
E,K_12M34,550,JHDHDSBRIXPFYZF,4450,197,BNSCSXOJWAFTTVS
A,X_10fMM,647,PNAWBSQVYHBMFPO,1585,210,LCZQWSYFTCTBQUI
F,T_xEfV1,929,MZZSOCSUGSTUXPF,2539,181,CBKMUWJEKWNROTY
G,U_oAo12,838,ZLOCESNXHIZOOUL,2559,153,OLNSTYUIIIGYSSL
H,O_Um421,384,NDGVSOYSBRMIQLD,3855,149,BGRMWMMUMEFOBGL
G,U_oAo12,390,CHVNCVKDEMWMRPE,3339,181,CBKMUWJEKWNROTY
A,X_10fMM,413,BYLODPSXBFMLHFU,4586,153,OLNSTYUIIIGYSSL
F,T_xEfV1,27,FCHGPOTLBXXKTOB,4976,162,KAQZSSKPPWRORYW
K,R_NFT36,307,ILISBJAVSODTASL,1203,215,QWJKGTTBATEWAHN
B,T_Fe134,15,VCQKRGUMIWDESRW,1899,153,OLNSTYUIIIGYSSL
H,O_Um421,647,PNAWBSQVYHBMFPO,2893,210,LCZQWSYFTCTBQUI
H,O_Um421,469,GCCIJFZZLUSNZKR,4828,121,WWICVCDUHUKZAWN
F,T_xEfV1,177,MZXEXJZPBWCTOXL,2674,179,PKOSWZVLMXMTLZW
K,R_NFT36,469,GCCIJFZZLUSNZKR,3916,162,KAQZSSKPPWRORYW
H,O_Um421,49,CPIEOLOBXRARHBO,2827,174,JIBGCETMMPEQHUC
D,Y_A13Fm,798,USPSEOSELIAAPUD,3169,153,OLNSTYUIIIGYSSL
F,T_xEfV1,583,QDMHXFMKFQWMNUF,3893,171,WOTRJPNMGQSJCKW
H,O_Um421,96,TDGZPEQTLFGJQCV,2055,208,DPQLFVEHBGGKXGX
H,O_Um421,404,GUJKMIZNEXIEPZE,2806,174,JIBGCETMMPEQHUC
K,R_NFT36,725,PXGPTCHULHWPELF,4153,179,PKOSWZVLMXMTLZW
G,U_oAo12,518,FOLRHQUMXSELBYM,1319,215,QWJKGTTBATEWAHN
D,Y_A13Fm,929,MZZSOCSUGSTUXPF,4454,162,KAQZSSKPPWRORYW
H,O_Um421,967,SHRIEJKCRXAXKPY,4054,210,LCZQWSYFTCTBQUI
E,K_12M34,760,AIUYMMHXMPOYHJJ,2664,171,WOTRJPNMGQSJCKW
E,K_12M34,518,FOLRHQUMXSELBYM,2742,153,OLNSTYUIIIGYSSL
K,R_NFT36,491,HWIQNNMEKJRBPGP,1185,197,BNSCSXOJWAFTTVS
K,R_NFT36,413,BYLODPSXBFMLHFU,3676,121,WWICVCDUHUKZAWN
A,X_10fMM,38,IORHSTMRDEJEBPU,2044,162,KAQZSSKPPWRORYW
